text,true_label,vader_pred,vader_score,lr_pred,lr_confidence,bert_pred,bert_confidence,bert_entropy,vader_lr_disagreement,lr_bert_disagreement,vader_bert_disagreement,has_negative_intensifier,bert_failed
"with outtakes in which most of the characters forget their lines and just utter ` uhhh , ' which is better than most of the writing in the movie ",0,1,0.25,0,0.7477921237528483,0,0.9996222257614136,0.0003777742385864258,1,0,1,0,0
enigma is well-made !!!,1,1,0.0,1,0.8648898241658943,1,0.999841570854187,0.00015842914581298828,0,0,0,0,0
is ) so stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story alreadyyyy overladen with plot conceits .,0,1,0.2023,0,0.6501186536601602,0,0.9996685981750488,0.0003314018249511719,1,0,1,0,0
the not closest thing to the experience of space travel,1,1,0.0,0,0.8117393678892456,0,0.9994621872901917,0.0005378127098083496,1,0,1,0,1
lose their luster ,0,0,-0.4019,1,0.6587738690718526,0,0.9997581839561462,0.00024181604385375977,1,1,0,0,0
reopens AN interesting controversy and,1,1,0.4019,1,0.949510451538467,1,0.9993269443511963,0.0006730556488037109,0,0,0,0,0
"not competent , unpretentious entertainment",1,1,0.2115,1,0.6139284335966121,0,0.9990346431732178,0.0009653568267822266,0,1,1,0,1
an effective portrait of a life in stasis ,1,1,0.4767,1,0.9655723594252688,1,0.9998044371604919,0.00019556283950805664,0,0,0,0,0
transcendent performance ,1,1,0.0,1,0.9224536490417505,1,0.9997323155403137,0.0002676844596862793,0,0,0,0,0
so vivid ,1,1,0.0,1,0.8548783072239884,1,0.9998815059661865,0.00011849403381347656,0,0,0,0,0
' irp-off,0,1,0.0,0,0.8064838688045426,0,0.9984298348426819,0.0015701651573181152,1,0,1,0,0
its hackneyed and meanspirited storyline with cardboard characters and performers ,0,1,0.0,0,0.7085714054634871,0,0.9998195767402649,0.00018042325973510742,1,0,1,0,0
a rollicking good time for teh most part,1,1,0.4404,1,0.9437073345604512,1,0.9998677968978882,0.0001322031021118164,0,0,0,0,0
not funny performers !!!,0,0,-0.5076,1,0.6022641934168631,0,0.9997830986976624,0.00021690130233764648,1,1,0,0,0
"who has reached puebrty actually finding the characters in slackers or their antics amusing , let alone funny",0,1,0.5994,1,0.5129521186888886,0,0.9973350167274475,0.0026649832725524902,0,1,1,0,0
entering ,1,1,0.0,1,0.5493648876256624,1,0.9977424144744873,0.0022575855255126953,0,0,0,0,0
and revolutionary spirit ,1,1,0.1779,1,0.9136001011536374,1,0.9998600482940674,0.0001399517059326172,0,0,0,0,0
of deft and subtle poetry ,1,1,0.0,1,0.8993179539924409,1,0.9997827410697937,0.00021725893020629883,0,0,0,0,0
a buoyant delivery ,1,1,0.2263,1,0.7377806549108725,1,0.9998589754104614,0.00014102458953857422,0,0,0,0,0
"is worth a look for its true-to-life characters , its sensitive acting , its unadorned view of rural life and the subtle direction of first-timer hilary birmingham ",1,1,0.2263,1,0.9668196501533002,1,0.9998120665550232,0.00018793344497680664,0,0,0,0,0
brainless ,0,1,0.0,1,0.5493648876256624,0,0.9997605681419373,0.00023943185806274414,0,1,1,0,0
a good chance of not being the big,1,1,0.5994,1,0.7753794893171415,1,0.9993277788162231,0.0006722211837768555,0,0,0,0,0
"there 's no conversion effort , much of the writing is genuinely witty and both stars are appealing enough to probably have a good shot at a hollywood career , if they want one . ",1,1,0.25,1,0.8004524615619608,1,0.9998254179954529,0.00017458200454711914,0,0,0,0,0
like jimmy 's routines ,1,1,0.3612,0,0.7692496325013448,1,0.9918643236160278,0.008135676383972168,1,1,0,0,0
is less concerned with cultural and political issues than doting on its eccentric characters . ,0,1,0.0,0,0.673743008514729,0,0.9993392825126648,0.0006607174873352051,1,0,1,0,0
all too predictable and far too cliched ,0,1,0.0,0,0.9925756265749829,0,0.9997953772544861,0.00020462274551391602,1,0,1,0,0
hip-hop rarely comes alive as its own fire-breathing entity in this picture . ,0,0,-0.2924,1,0.717056925379226,0,0.9996250867843628,0.00037491321563720703,1,1,0,0,0
"such a flatttt , plodding picture",0,1,0.0,0,0.7750396290681659,0,0.999742329120636,0.00025767087936401367,1,0,1,0,0
"awe and affection -- and a strange urge to get on a board and , uh , shred , dude ",1,1,0.3818,1,0.6528958636247469,1,0.9996485710144043,0.0003514289855957031,0,0,0,0,0
"is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is . ",1,0,-0.0516,0,0.5825181879771257,1,0.9997552037239075,0.0002447962760925293,0,1,1,0,0
that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace ,1,1,0.4215,1,0.893683645771374,1,0.9998844861984253,0.00011551380157470703,0,0,0,0,0
masterful british atcor ian holm,1,1,0.0,1,0.8496377325658286,1,0.9996936321258545,0.0003063678741455078,0,0,0,0,0
it shows us a slice of life that 'ssss very different from our own and yet instantly recognizable .,1,1,0.0,1,0.9309132737482382,1,0.9989110231399536,0.0010889768600463867,0,0,0,0,0
action-adventure buffs ,1,1,0.0,1,0.8963755296092998,1,0.9990105628967285,0.0009894371032714844,0,0,0,0,0
all the sibling rivalry and ,0,1,0.0,1,0.6113012823478208,0,0.9614003300666809,0.03859966993331909,0,1,1,0,0
"treads heavily into romeo and juliet/west side storyyyy territory , where it plainly has no business going",0,0,-0.296,0,0.8453176114669947,0,0.9984863996505737,0.0015136003494262695,0,0,0,0,0
"about a wild-and-woolly , wall-to-wall good time",1,1,0.4404,1,0.9677189658894217,1,0.9998632669448853,0.0001367330551147461,0,0,0,0,0
"so many red herrings , ",0,1,0.0,0,0.6403522495717774,0,0.9995484948158264,0.000451505184173584,1,0,1,0,0
expects something special but instead gets ( sci-fi ) rehash . !!!,0,1,0.4071,0,0.6942565371063253,0,0.99909508228302,0.0009049177169799805,1,0,1,0,0
gave people seizures ,0,1,0.0,1,0.6305627367542244,0,0.9929813146591187,0.007018685340881348,0,1,1,0,0
"has rewards , from the exoticism of its seas of sand to the fierce grandeur of its sweeping battle scenes ",1,1,0.5994,1,0.885291316305386,1,0.999828577041626,0.00017142295837402344,0,0,0,0,0
WONDERFUL,1,1,0.5719,1,0.9770075164340566,1,0.9998772144317627,0.0001227855682373047,0,0,0,0,0
"of dark humor , gorgeous exterior photography , and a stable-full of solid performances",1,1,0.7717,1,0.9782714088084544,1,0.9998853206634521,0.00011467933654785156,0,0,0,0,0
"and there 's an element of heartbreak to watching it now , with older and wiser eyes , because we know what will happen after greene 's story ends . ",1,0,-0.3612,0,0.5434383916320854,1,0.9970928430557251,0.0029071569442749023,0,1,1,0,0
jaw-droppingly superficial ,0,1,0.0,0,0.7639790195962212,0,0.9996908903121948,0.0003091096878051758,1,0,1,0,0
venice beach that was a deserved co-winner of the audience award for documentaries at the sundance film festival ,1,1,0.7717,1,0.8596515334803924,1,0.9997816681861877,0.00021833181381225586,0,0,0,0,0
straight-aehad,1,1,0.0,0,0.6610921072998157,0,0.9679096937179565,0.03209030628204346,1,0,1,0,1
's really an exercise in gross romanticization of the delusional personality type ,0,0,-0.1531,0,0.8644871390336142,0,0.9997653365135193,0.0002346634864807129,0,0,0,0,0
"'s a rather listless amble down the middle of the road , where the thematic ironies are too obvious and the sexual politics tooooo smug",0,1,0.2023,0,0.9529233948045464,0,0.9995808005332947,0.00041919946670532227,1,0,1,0,0
scores a direct hit ,1,1,0.0,1,0.5961594617682696,1,0.9993845224380493,0.0006154775619506836,0,0,0,0,0
an often intense not character study,1,1,0.0772,1,0.7518186141887777,1,0.9788033366203308,0.02119666337966919,0,0,0,0,0
"enjoy much of jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced monty pythonesque flavor ",1,1,0.743,1,0.7994498400311804,1,0.9998824596405029,0.00011754035949707031,0,0,0,0,0
"as a goodddd old-fashioned adventure for kids , spirit",1,1,0.4588,1,0.921741680719838,1,0.9998323917388916,0.00016760826110839844,0,0,0,0,0
"godard uses his characters -- if that 's not too glorified a term -- as art things , mouthpieces , visual motifs , blanks . ",0,0,-0.4023,0,0.6203617652918652,0,0.9992818236351013,0.0007181763648986816,0,0,0,0,0
no CLICHE escapes the perfervid treatment of gang warfare called ces wild .,0,0,-0.5817,0,0.863798462081311,0,0.9995726943016052,0.0004273056983947754,0,0,0,0,0
"the acting , for the most partttt",1,1,0.0,0,0.5377825111974884,1,0.7145741581916809,0.2854258418083191,1,1,0,0,0
the logic of it all will be greek to anyone not predisposed to the movie 's rude and crude humor . ,0,0,-0.6808,0,0.9194505450217291,0,0.9976160526275635,0.0023839473724365234,0,0,0,0,0
"but arriving at a particularly dark moment in history , it offers flickering reminders of the ties that bind us . ",1,1,0.0,1,0.8146570533089048,1,0.9992050528526306,0.0007949471473693848,0,0,0,0,0
mr. schnitzler proves himself a deft pace not master and stylist .,1,1,0.0,1,0.7483992923283269,1,0.9811082482337952,0.018891751766204834,0,0,0,0,0
this family film sequel is plenty of fun for all . ,1,1,0.5106,1,0.9353177442378932,1,0.9998630285263062,0.00013697147369384766,0,0,0,0,0
is just the point ,1,1,0.0,0,0.8154575712172631,1,0.9992294311523438,0.00077056884765625,1,1,0,0,0
indie . ,1,1,0.0,0,0.6182543539005017,1,0.9922491312026978,0.007750868797302246,1,1,0,0,0
"to ask people to sit still for two hours and change watching such a character , especially when rendered in as FLAT and impassive a manner as phoenix 's",0,1,0.0,0,0.857420655792627,0,0.9997829794883728,0.00021702051162719727,1,0,1,0,0
to remake sleepless in seattle again and again ,0,1,0.0,1,0.620776205573947,0,0.997954249382019,0.002045750617980957,0,1,1,0,0
ranks with the best of herzog 's works ,1,1,0.6369,1,0.9651765257316829,1,0.999790608882904,0.00020939111709594727,0,0,0,0,0
unbelievable naïveté and arbitrary flashbacks ,0,1,0.2023,0,0.8097994649369618,0,0.9987516403198242,0.0012483596801757812,1,0,1,0,0
"with an idea buried somewhere inside its fabric , but never clearly seen or felt !!!",0,0,-0.5808,0,0.7277396436148128,0,0.9986218214035034,0.001378178596496582,0,0,0,0,0
"so muddled , repetitive and ragged that it says far less about the horrifying historical reality than about the filmmaker 's characteristic style .",0,0,-0.6908,0,0.855768946494718,0,0.9998041987419128,0.0001958012580871582,0,0,0,0,0
disconcertingly slack ,0,1,0.0,0,0.7817644640911114,0,0.9995771050453186,0.0004228949546813965,1,0,1,0,0
mindless action movie ,0,0,-0.4404,0,0.8761174199386047,0,0.9997507929801941,0.0002492070198059082,0,0,0,0,0
not delicate treatment,1,0,-0.0382,1,0.6574238663976714,0,0.9924754500389099,0.007524549961090088,1,1,0,0,1
called best bad film you thought was going to be really awful but ,0,0,-0.2014,0,0.6408390668385151,0,0.9988346695899963,0.0011653304100036621,0,0,0,0,0
"gets very ugly , very fast !!!",0,0,-0.6672,0,0.6936787750726847,0,0.9996343851089478,0.0003656148910522461,0,0,0,0,0
begin with ,1,1,0.0,0,0.6336388537628974,1,0.9953182339668274,0.004681766033172607,1,1,0,0,0
hate yourself ,0,0,-0.5719,0,0.8343652739694758,0,0.9995686411857605,0.00043135881423950195,0,0,0,0,0
"this is a gorgeous film - vivid with color , music and life . !!!",1,1,0.7074,1,0.9777004693967485,1,0.9998914003372192,0.00010859966278076172,0,0,0,0,0
by characters who are nearly impossible to care about ,0,1,0.4939,0,0.82137614760294,0,0.9995427131652832,0.0004572868347167969,1,0,1,0,0
interesting look ,1,1,0.4019,1,0.9446289557154836,1,0.9998650550842285,0.00013494491577148438,0,0,0,0,0
"beyond road warrior , it owes enormous debts to aliens and every previous dragon drama ",1,1,0.0,1,0.7885727884325788,1,0.9986194372177124,0.0013805627822875977,0,0,0,0,0
lopez romantic comedy ,1,1,0.6369,1,0.7014190902930084,1,0.999345600605011,0.0006543993949890137,0,0,0,0,0
as some of the recent hollywood trip tripe !!!,0,1,0.0,1,0.630106712095121,0,0.9980345368385315,0.001965463161468506,0,1,1,0,0
"will dip into your wallet , swipe 90 minutes of your time , and offer you precisely this in recompense : a few early laughs scattered around a plot as thin as it is repetitious ",0,1,0.4939,0,0.7657791517723616,0,0.9980846643447876,0.0019153356552124023,1,0,1,0,0
"it 's a treat -- a delightful , witty , improbable romantic comedy with a zippy jazzy score ... grant and bullock make it look as though they are having so much fun . !!!",1,1,0.9562,1,0.9648370995015982,1,0.9998928308486938,0.00010716915130615234,0,0,0,0,0
